Time start,Time end,Level start,Level End,duration
07052022_034409,07052022_034502,0,1,52.518418
07052022_034409,07052022_034618,0,0,128.838986
07052022_034409,07052022_034639,0,0,150.168424
07052022_034409,07052022_034826,0,0,256.970588
07052022_034409,07052022_034855,0,0,286.004204
07052022_035017,07052022_035043,0,0,25.845256
07052022_041037,07052022_041117,0,0,40.52001
07052022_041303,07052022_042758,1,21,895.551801
07052022_041303,07052022_042824,1,21,921.186633
07052022_042827,07052022_042931,0,1,64.311994
07052022_042827,07052022_043058,0,1,150.57077
07052022_043157,07052022_044539,1,16,821.736807
07052022_043157,07052022_044541,1,0,823.935809
07052022_160359,07052022_160428,0,0,29.057524
07052022_160359,07052022_160514,0,0,74.817054
07052022_160359,07052022_160549,0,1,109.34281
07052022_160359,07052022_160556,0,0,116.649704
07052022_160710,07052022_162122,1,21,852.2182
07052022_160710,07052022_162139,1,21,868.795044
07052022_160710,07052022_162158,1,0,887.729367
07052022_162448,07052022_162639,1,3,110.949541
07052022_162831,07052022_164809,2,20,1178.883159
07052022_162831,07052022_164828,2,20,1197.271261
07052022_162831,07052022_164829,2,0,1198.124112
07052022_164836,07052022_164904,0,19,28.265118
07052022_165120,07052022_165223,20,20,62.681618
07052022_165120,07052022_165239,20,0,78.69271
07052022_173837,07052022_174105,20,21,148.397906
07052022_173837,07052022_174132,20,21,175.123446
07052022_174135,07052022_174220,0,0,44.917363
07052022_174135,07052022_174229,0,1,53.614372
07052022_175520,07052022_181045,0,13,924.887165
07052022_175520,07052022_181053,0,0,932.976292
07052022_182718,07052022_182912,11,12,113.968052
07052022_182718,07052022_182924,11,0,125.789174
07052022_183548,07052022_184601,13,21,613.001085
07052022_183548,07052022_184607,13,21,619.270693
07052022_183548,07052022_184611,13,0,623.341267
07052022_192000,07052022_192029,0,0,29.847229
07052022_192000,07052022_192216,0,0,136.160304
07052022_192220,07052022_192334,0,0,74.372247
07052022_192635,07052022_192717,0,0,42.077432
07052022_192635,07052022_192757,0,0,82.338496
07052022_193535,07052022_200127,0,21,1551.498843
07052022_193535,07052022_200154,0,21,1578.07631
07052022_200157,07052022_200343,0,1,105.840447
07052022_200157,07052022_200351,0,0,114.522306
07052022_202611,07052022_203422,2,8,490.904349
07052022_203503,07052022_204450,9,16,586.753067
07052022_203503,07052022_204452,9,0,589.15009
07052022_204611,07052022_204821,17,18,130.255378
07052022_204611,07052022_205556,17,0,584.929087
07052022_204611,07052022_210208,17,0,956.4316
07052022_210252,07052022_213318,0,21,1826.430797
07052022_210252,07052022_213332,0,21,1840.443203
07052022_210252,07052022_213333,0,0,1841.746187
07052022_210252,07052022_213337,0,0,1845.526297
07052022_215809,07052022_220441,0,8,391.801786
07052022_215809,07052022_220613,0,0,484.107578
07052022_220729,07052022_221950,6,16,741.041372
07052022_220729,07052022_221951,6,0,742.289723
07052022_222027,07052022_222249,17,18,141.392769
07052022_222410,07052022_222816,18,19,245.865489
